ID	Date	Link
p_0001_001	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-004/
p_0001_002	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-006/
p_0001_003	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-007/
p_0001_004	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-009/
p_0001_005	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-010/
p_0001_006	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-011/
p_0001_007	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-012/
p_0001_008	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-013/
p_0001_009	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-024/
p_0001_010	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-028/
p_0001_011	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-029/
p_0001_012	2005(e)ko martxoaren 09a	https://ahotsak.eus/arrasate/pasarteak/arr-012-033/
p_0002_001	2012(e)ko urriaren 16a	https://ahotsak.eus/berango/pasarteak/bgo-004-009/
p_0002_002	2012(e)ko urriaren 16a	https://ahotsak.eus/berango/pasarteak/bgo-004-014/
p_0003_001	2006(e)ko urtarrilaren 01a	https://ahotsak.eus/eskoriatza/pasarteak/esk-036-001/
p_0003_002	2006(e)ko urtarrilaren 01a	https://ahotsak.eus/eskoriatza/pasarteak/esk-036-002/
p_0003_003	2006(e)ko urtarrilaren 01a	https://ahotsak.eus/eskoriatza/pasarteak/esk-036-003/
p_0004_001	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-002/
p_0004_002	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-004/
p_0004_003	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-005/
p_0004_004	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-007/
p_0004_005	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-008/
p_0004_006	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-009/
p_0004_007	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-012/
p_0004_008	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-013/
p_0004_009	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-014/
p_0004_010	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-015/
p_0004_011	2006(e)ko martxoaren 29a	https://ahotsak.eus/aretxabaleta/pasarteak/are-010-016/
